Module	Tissue	mean_Aged	mean_Young	FC	pvalue
PM3	Colon	0.037889881	0.043885335	0.863383661	0.194168412
PM3	Eye	-0.079984602	-0.07642881	1.046524233	0.004029708
PM3	Heart	-0.050037488	-0.048961232	1.021981795	0.386142987
PM3	Kidney	-0.037773452	-0.038308111	0.986043197	0.646361017
PM3	Liver	-0.006507925	-0.004808386	1.353453079	0.113247859
PM3	Lung	-0.01993579	-0.020449996	0.974855447	0.920871223
PM3	Muscle	-0.095107325	-0.094369642	1.00781695	0.043765537
PM3	Pancrea	-0.046817207	-0.045397268	1.031278083	0.270943557
PM3	Skin	-0.068816926	-0.069086102	0.996103753	0.511310117
PM3	Small int	0.057094862	0.066925553	0.853110051	0.035516559
PM3	Spinal cord	-0.051168955	-0.045735873	1.118792567	0.025104056
PM3	Spleen	0.117660076	0.141023477	0.834329703	0.002700031
PM3	Testis	0.135512789	0.13679229	0.990646392	0.896771043
PM3	Thymus	0.174829713	0.248050924	0.704813795	0.006983304
PM3	WAT	-0.045074658	-0.046859801	0.961904602	0.320402311
PM4	BAT	-0.037507522	-0.036243116	1.034886777	0.112857283
PM4	Beige fat	-0.031583103	-0.029243294	1.080011815	0.028417412
PM4	Bladder	-0.031517303	-0.029638157	1.063402948	0.371630063
PM4	Bone	-0.02820966	-0.038745121	0.7280829	0.199807567
PM4	Brain	-0.025946718	-0.025328426	1.024411022	0.625937365
PM4	Cerebellum	-0.037306787	-0.035174933	1.060607201	0.014375891
PM4	Colon	0.021296831	0.0127821	1.666144941	0.21313646
PM4	Eye	-0.073767047	-0.064792762	1.138507515	0.01012123
PM4	Heart	0.227573904	0.232043715	0.980737204	0.596665146
PM4	Kidney	-0.045705047	-0.042469133	1.076194493	0.032835892
PM4	Liver	0.020447429	0.028381611	0.720446368	0.007483826
PM4	Lung	-0.02396738	-0.024046272	0.99671918	0.966236317
PM4	Muscle	-0.060422362	-0.054301276	1.112724524	0.004941203
PM4	Pancrea	0.217176859	0.222200381	0.97739193	0.574450977
PM4	Skin	-0.052133505	-0.041992539	1.241494459	0.003371236
PM4	Small int	0.026587692	0.01032691	2.574602882	0.166110398
PM4	Spinal cord	-0.043767223	-0.038760625	1.129167119	1.49004E-05
PM4	Spleen	-0.012917964	-0.020231231	0.63851597	0.001780605
PM4	Testis	0.009004475	0.010471795	0.859878825	0.423054014
PM4	Thymus	-0.004076766	0.001999245	-2.039152275	0.535562392
PM4	WAT	-0.025491204	-0.025006475	1.019384109	0.637798332
PM5	BAT	0.076120033	0.051732113	1.471427105	0.012214162
PM5	Beige fat	-0.008943586	-0.020719643	0.431647699	0.162468604
PM5	Bladder	-0.019964215	-0.020895356	0.955437908	0.572812955
PM5	Bone	-0.043214827	-0.041208441	1.048688702	0.198602001
PM5	Brain	-0.035520109	-0.038060489	0.933254129	0.251399216
PM5	Cerebellum	-0.018732156	-0.021513536	0.870714881	0.015584951
PM5	Colon	-0.005156475	-0.001938429	2.660130704	0.277347924
PM5	Eye	-0.071887763	-0.077581024	0.926615289	5.1258E-05
PM5	Heart	-0.018483803	-0.01894161	0.975830631	0.647507936
PM5	Kidney	0.293154724	0.309678254	0.946642909	0.051773271
PM5	Liver	0.097397782	0.100296616	0.97109739	0.230557402
PM5	Lung	-0.035051302	-0.037463188	0.93561984	0.220488747
